TimeKey,CarrierKey,OriginKey,DestKey,PASSENGERS,DISTANCE
2018-01-01,87,11996,11066,0.0,354.0
2018-02-01,11,14576,12917,0.0,355.0
2018-12-01,11,14576,12917,0.0,355.0
2018-08-01,10,11066,14512,0.0,358.0
2018-02-01,85,11066,14492,0.0,362.0
2018-04-01,85,11066,14492,0.0,362.0
2018-01-01,85,14492,11066,0.0,362.0
2018-02-01,85,14492,11066,0.0,362.0
2018-04-01,85,14492,11066,0.0,362.0
2018-01-01,99,12917,14512,0.0,362.0
2018-02-01,99,12917,14512,0.0,362.0
2018-03-01,99,12917,14512,0.0,362.0
2018-04-01,99,12917,14512,0.0,362.0
2018-05-01,99,12917,14512,0.0,362.0
2018-06-01,99,12917,14512,0.0,362.0
2018-07-01,99,12917,14512,0.0,362.0
2018-08-01,99,12917,14512,0.0,362.0
2018-09-01,99,12917,14512,0.0,362.0
2018-10-01,99,12917,14512,0.0,362.0
2018-11-01,99,12917,14512,0.0,362.0
2018-12-01,99,12917,14512,0.0,362.0
2018-06-01,87,11871,11066,0.0,362.0
2018-02-01,91,14492,11066,0.0,362.0
2018-06-01,67,11066,12397,0.0,377.0
2018-12-01,91,11066,13485,0.0,398.0
2018-12-01,91,13485,11066,0.0,398.0
2018-12-01,91,13485,12917,0.0,404.0
2018-02-01,85,11066,14100,0.0,406.0
2018-04-01,85,11066,14100,0.0,406.0
2018-12-01,87,12917,13151,0.0,406.0
2018-11-01,91,11066,14100,0.0,406.0
2018-02-01,91,14100,11066,0.0,406.0
2018-11-01,85,15016,11066,0.0,409.0
2018-04-01,99,14100,12917,0.0,409.0
2018-05-01,99,14100,12917,0.0,409.0
2018-06-01,99,14100,12917,0.0,409.0
2018-07-01,99,14100,12917,0.0,409.0
2018-08-01,99,14100,12917,0.0,409.0
2018-09-01,99,14100,12917,0.0,409.0
2018-10-01,99,14100,12917,0.0,409.0
2018-11-01,99,14100,12917,0.0,409.0
2018-12-01,99,14100,12917,0.0,409.0
2018-04-01,67,11066,11641,0.0,409.0
2018-06-01,67,11066,15016,0.0,409.0
2018-10-01,87,13151,11066,0.0,419.0
2018-06-01,67,11066,13931,0.0,421.0
